index,open,high,low,close,volume,value
2023-01-10 07:08:00,21663000.0,21666000.0,21662000.0,21666000.0,1.23076959,26663092.5393
2023-01-10 07:09:00,21666000.0,21666000.0,21662000.0,21662000.0,1.96854716,42644460.70001
2023-01-10 07:10:00,21663000.0,21663000.0,21662000.0,21662000.0,1.72086167,37277729.16634
2023-01-10 07:11:00,21662000.0,21666000.0,21662000.0,21666000.0,3.14924727,68221607.93243
2023-01-10 07:12:00,21666000.0,21669000.0,21666000.0,21669000.0,2.89879522,62805747.25846
2023-01-10 07:13:00,21669000.0,21683000.0,21667000.0,21683000.0,1.41669976,30709193.83091
2023-01-10 07:14:00,21682000.0,21682000.0,21676000.0,21680000.0,0.6423721,13927002.73655
2023-01-10 07:15:00,21678000.0,21683000.0,21678000.0,21683000.0,0.49401849,10710940.92169
2023-01-10 07:16:00,21681000.0,21683000.0,21673000.0,21677000.0,1.8664621,40462679.32275
2023-01-10 07:17:00,21677000.0,21695000.0,21677000.0,21685000.0,2.06158222,44711893.45256
2023-01-10 07:18:00,21680000.0,21687000.0,21673000.0,21674000.0,1.19079382,25810194.74924
2023-01-10 07:19:00,21674000.0,21674000.0,21673000.0,21673000.0,1.13646695,24631050.09818
2023-01-10 07:20:00,21673000.0,21673000.0,21669000.0,21672000.0,1.10624798,23974694.02236
2023-01-10 07:21:00,21672000.0,21674000.0,21670000.0,21674000.0,0.62225269,13485983.34828
2023-01-10 07:22:00,21672000.0,21687000.0,21672000.0,21686000.0,0.6173106,13382308.7855
2023-01-10 07:23:00,21675000.0,21695000.0,21674000.0,21695000.0,2.40162684,52079607.02348
2023-01-10 07:24:00,21695000.0,21699000.0,21688000.0,21694000.0,0.24889588,5399697.63568
2023-01-10 07:25:00,21694000.0,21700000.0,21688000.0,21699000.0,0.75132457,16298773.68819
2023-01-10 07:26:00,21699000.0,21700000.0,21691000.0,21691000.0,3.10139601,67277568.46254
2023-01-10 07:27:00,21691000.0,21700000.0,21690000.0,21700000.0,0.13649254,2961047.71563
2023-01-10 07:28:00,21700000.0,21700000.0,21690000.0,21700000.0,0.35672288,7740169.14133
2023-01-10 07:29:00,21700000.0,21700000.0,21699000.0,21700000.0,0.624153,13544052.92912
2023-01-10 07:30:00,21700000.0,21700000.0,21699000.0,21699000.0,1.33753084,29023653.51084
2023-01-10 07:31:00,21699000.0,21700000.0,21691000.0,21700000.0,1.206314,26170598.62212
2023-01-10 07:32:00,21700000.0,21703000.0,21692000.0,21703000.0,1.94886451,42289635.38624
2023-01-10 07:33:00,21703000.0,21724000.0,21703000.0,21724000.0,0.58901018,12785981.35675
2023-01-10 07:34:00,21724000.0,21730000.0,21724000.0,21730000.0,0.98749112,21456471.76781
2023-01-10 07:35:00,21732000.0,21743000.0,21730000.0,21743000.0,1.04437575,22699436.16825
2023-01-10 07:36:00,21743000.0,21748000.0,21724000.0,21725000.0,3.30842657,71916758.66714
2023-01-10 07:37:00,21729000.0,21729000.0,21724000.0,21724000.0,1.06673817,23174865.75077
2023-01-10 07:38:00,21724000.0,21724000.0,21723000.0,21724000.0,3.01523278,65502407.71456
2023-01-10 07:39:00,21722000.0,21722000.0,21706000.0,21708000.0,2.25873108,49040226.57927
2023-01-10 07:40:00,21706000.0,21708000.0,21700000.0,21706000.0,1.15039545,24970000.19904
2023-01-10 07:41:00,21706000.0,21720000.0,21700000.0,21700000.0,0.41011214,8901793.04718
2023-01-10 07:42:00,21700000.0,21716000.0,21700000.0,21716000.0,0.9780011,21223826.4552
2023-01-10 07:43:00,21715000.0,21720000.0,21712000.0,21715000.0,0.80909674,17568984.08696
2023-01-10 07:44:00,21720000.0,21723000.0,21720000.0,21722000.0,1.41462897,30727084.44921
2023-01-10 07:45:00,21722000.0,21724000.0,21721000.0,21722000.0,0.39286887,8533964.33892
2023-01-10 07:46:00,21722000.0,21722000.0,21720000.0,21720000.0,0.70438576,15300099.03574
2023-01-10 07:47:00,21721000.0,21721000.0,21716000.0,21716000.0,0.82962838,18019179.05773
2023-01-10 07:48:00,21717000.0,21722000.0,21712000.0,21722000.0,0.4873001,10582137.91837
2023-01-10 07:49:00,21721000.0,21721000.0,21706000.0,21715000.0,0.81662006,17730727.17801
2023-01-10 07:50:00,21715000.0,21715000.0,21711000.0,21714000.0,0.64412078,13986364.88843
2023-01-10 07:51:00,21714000.0,21716000.0,21714000.0,21715000.0,0.47325184,10277005.93079
2023-01-10 07:52:00,21715000.0,21716000.0,21709000.0,21715000.0,0.72575451,15758917.50557
2023-01-10 07:53:00,21715000.0,21715000.0,21706000.0,21706000.0,0.81377103,17667275.58144
2023-01-10 07:54:00,21706000.0,21706000.0,21702000.0,21706000.0,0.82307391,17863038.67464
2023-01-10 07:55:00,21702000.0,21705000.0,21702000.0,21702000.0,0.20584308,4467347.81267
2023-01-10 07:56:00,21703000.0,21703000.0,21701000.0,21703000.0,0.52338434,11358677.61169
2023-01-10 07:57:00,21702000.0,21703000.0,21698000.0,21703000.0,3.37854289,73315623.9866
2023-01-10 07:58:00,21703000.0,21703000.0,21698000.0,21699000.0,0.46180175,10020325.79563
2023-01-10 07:59:00,21699000.0,21699000.0,21697000.0,21699000.0,2.55431547,55423749.26429
2023-01-10 08:00:00,21699000.0,21706000.0,21697000.0,21704000.0,3.87702133,84132926.24034
2023-01-10 08:01:00,21704000.0,21704000.0,21700000.0,21701000.0,0.35632711,7733015.35895
2023-01-10 08:02:00,21700000.0,21700000.0,21697000.0,21698000.0,1.64169683,35621287.21282
2023-01-10 08:03:00,21698000.0,21699000.0,21696000.0,21696000.0,2.14962204,46638662.34474
2023-01-10 08:04:00,21696000.0,21700000.0,21690000.0,21695000.0,2.96167371,64251497.37597
2023-01-10 08:05:00,21699000.0,21699000.0,21695000.0,21695000.0,3.56147563,77269824.02023
2023-01-10 08:06:00,21698000.0,21698000.0,21690000.0,21690000.0,3.02293278,65579532.15415
2023-01-10 08:07:00,21690000.0,21690000.0,21680000.0,21682000.0,2.57519649,55838388.0211
2023-01-10 08:08:00,21682000.0,21682000.0,21669000.0,21671000.0,3.1504851,68284691.55586
2023-01-10 08:09:00,21673000.0,21673000.0,21657000.0,21657000.0,7.64784565,165687668.34588
2023-01-10 08:10:00,21658000.0,21658000.0,21630000.0,21631000.0,11.14503615,241266630.70043
2023-01-10 08:11:00,21631000.0,21640000.0,21630000.0,21631000.0,4.65868014,100771730.54593
2023-01-10 08:12:00,21630000.0,21640000.0,21630000.0,21639000.0,3.73938101,80894840.71144
2023-01-10 08:13:00,21640000.0,21640000.0,21629000.0,21630000.0,5.36133111,115987695.46732
2023-01-10 08:14:00,21629000.0,21638000.0,21628000.0,21638000.0,2.66765126,57702713.84243
2023-01-10 08:15:00,21638000.0,21638000.0,21628000.0,21638000.0,2.99760731,64839694.95612
2023-01-10 08:16:00,21637000.0,21637000.0,21630000.0,21635000.0,0.42566504,9209714.09139
2023-01-10 08:17:00,21636000.0,21636000.0,21630000.0,21636000.0,1.12679281,24377185.08995
2023-01-10 08:18:00,21636000.0,21646000.0,21636000.0,21640000.0,1.97131892,42653327.72706
2023-01-10 08:19:00,21640000.0,21640000.0,21636000.0,21637000.0,1.19469883,25850593.24137
2023-01-10 08:20:00,21637000.0,21646000.0,21636000.0,21638000.0,0.61521016,13313006.08693
2023-01-10 08:21:00,21638000.0,21646000.0,21636000.0,21642000.0,0.77164186,16697903.90701
2023-01-10 08:22:00,21637000.0,21646000.0,21637000.0,21642000.0,0.83020504,17967180.32075
2023-01-10 08:23:00,21646000.0,21647000.0,21642000.0,21647000.0,0.47267821,10231318.78912
2023-01-10 08:24:00,21647000.0,21647000.0,21644000.0,21646000.0,0.78718182,17039383.72281
2023-01-10 08:25:00,21646000.0,21646000.0,21644000.0,21645000.0,0.81967659,17741831.92666
2023-01-10 08:26:00,21646000.0,21646000.0,21645000.0,21646000.0,0.52786487,11425825.26591
2023-01-10 08:27:00,21646000.0,21648000.0,21646000.0,21647000.0,2.3151377,50114629.82847
2023-01-10 08:28:00,21647000.0,21648000.0,21646000.0,21648000.0,0.81357175,17611638.92668
2023-01-10 08:29:00,21648000.0,21664000.0,21647000.0,21664000.0,1.1030229,23883526.78226
2023-01-10 08:30:00,21658000.0,21664000.0,21658000.0,21663000.0,0.38410239,8320402.44487
2023-01-10 08:31:00,21663000.0,21663000.0,21658000.0,21658000.0,0.85965611,18619987.60563
2023-01-10 08:32:00,21658000.0,21663000.0,21650000.0,21658000.0,4.35307325,94291598.51199
2023-01-10 08:33:00,21658000.0,21663000.0,21649000.0,21651000.0,2.18357913,47280467.61705
2023-01-10 08:34:00,21651000.0,21663000.0,21647000.0,21647000.0,1.94096062,42022054.13726
2023-01-10 08:35:00,21661000.0,21661000.0,21647000.0,21647000.0,1.42152043,30774733.83701
2023-01-10 08:36:00,21647000.0,21647000.0,21646000.0,21647000.0,1.5822696,34251382.67593
