product_id,img_path,brand,name,color1,color2,price_og,price_resell,n_scrap,+price,tokenized_color,tokenized_bn
38844,crawling\product_crawling\image\38844.jpg,Nike,Nike Dunk Low SE Seoul,BLACK,WHITE-RED-BLUE,129000,262000,17000.0,133000,[0 0 0 0 0 0 0 0 2 5 3 4 7 8],"[  0   0   0   0   0   0   0   0   0   0   0   0   0   2   4   3   4  32
  14  40 470]"
68771,crawling\product_crawling\image\68771.jpg,Nike,Nike ACG Mountain Fly Low SE White and Black,WHITE,BLACK-ANTHRACITE-GREY FOG,179000,187800,4830.0,8800,[ 0  0  0  0  0  0  0  2  4  3  5 55  6 62],"[  0   0   0   0   0   0   0   0   0   2   4   3   4 140 250 242  14  40
  11  41  10]"
79358,crawling\product_crawling\image\79358.jpg,Nike,Nike Air Force 1 '07 LV8 Night Maroon,SAIL,NIGHT MAROON,139000,160000,4651.0,21000,[  0   0   0   0   0   0   0   0   0   2  12   3  89 138],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4  16  30  12  42
 111 259 432]"
47887,crawling\product_crawling\image\47887.jpg,Nike,Nike Dunk Low Retro Championship Court Purple,WHITE,COURT PURPLE,129000,172200,27000.0,43200,[ 0  0  0  0  0  0  0  0  0  2  4  3 72 28],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4  32  14  15
 405 260  80]"
70212,crawling\product_crawling\image\70212.jpg,Nike,Nike Dunk Low Wolf Grey and Pure Platinum,PURE PLATINUM,WHITE,179000,208400,4545.0,29400,[ 0  0  0  0  0  0  0  0  0  2 34 44  3  4],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4  32  14 234  17
  41  93 204]"
62447,crawling\product_crawling\image\62447.jpg,Nike,Nike x Kasina Air Max 1 SP Won-Ang Particle Grey,PARTICLE GREY,DARK TEAL GREEN,199000,150200,10000.0,-48800,[  0   0   0   0   0   0   0   2 123   6   3  21  58  11],"[  0   0   0   0   0   0   0   2   4   3   4   9 542  16  33  12  44 950
 951 502  17]"
61232,crawling\product_crawling\image\61232.jpg,Nike,Nike Air Zoom Alphafly Next% Hyper Violet,HYPER VIOLET,BLACK,338500,245400,677.0,-93100,[ 0  0  0  0  0  0  0  0  0  2 39 87  3  5],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4  16  57 471
 147 192 357]"
82073,crawling\product_crawling\image\82073.jpg,Nike,Nike Air Force 1 '07 Fresh Black,BLACK,ANTHRACITE,159000,158000,1081.0,-1000,[ 0  0  0  0  0  0  0  0  0  0  2  5  3 55],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4  16  30  12
  42 433  10]"
26336,crawling\product_crawling\image\26336.jpg,Nike,Nike ACG Mountain Fly Gore-Tex Black and Dark Grey,BLACK,DARK GREY,259000,251600,2621.0,-7400,[ 0  0  0  0  0  0  0  0  0  2  5  3 21  6],"[  0   0   0   0   0   0   0   0   2   4   3   4 140 250 242 117 118  10
  41  61  17]"
83796,crawling\product_crawling\image\83796.jpg,Nike,Nike LeBron XX EP White Metalic Gold,WHITE,METALIC GOLD,239000,209400,298.0,-29600,[  0   0   0   0   0   0   0   0   0   2   4   3 441  20],"[   0    0    0    0    0    0    0    0    0    0    0    2    4    3
    4  148  503  205   11 1410   66]"
