,date,value,action,reward,balance,coin
163,,98835111.48436186,7.0,-0.3710812539986977,49392825.63250235,2.342008755346126
164,,98808039.36592793,7.0,-0.8686769828668247,49394137.759622335,2.341478219055616
165,,98779425.61683387,0.0,-0.4167217836568145,123476751.06418762,-1.1708440084493026
166,,98773113.32991578,5.0,-0.03554670837480067,123476751.06418762,-1.1708440084493026
167,,98773698.75192001,1.0,-0.3,148153139.1377112,-2.3407753809967535
168,,98766289.76175119,1.0,-0.12224447235586314,148139557.6432011,-2.3405998000272814
169,,98762264.26182559,6.0,-0.30996693686000965,74064291.4104245,1.1703908828904246
170,,98749590.71690789,6.0,-0.15,74057255.76798235,1.1704903719141346
171,,98744653.44720933,7.0,0.016668444634085434,49364920.75116437,2.3408636997655297
172,,98747781.36141798,7.0,0.04623506825927715,49364015.0055799,2.340438504015405
173,,98749607.87880898,0.0,-0.11445310648786988,123439479.66760156,-1.169963602184837
174,,98753247.6615015,1.0,-0.3,148122465.20666856,-2.340124352168282
175,,98745841.3759178,6.0,-0.0966877962084491,74051974.72352087,1.169974423885282
176,,98740190.02913615,1.0,-0.4421842049143995,148102879.2126722,-2.3396486038702498
177,,98728104.90089639,1.0,-0.33554268249353303,148082283.46866834,-2.3391405430591226
178,,98717061.44794862,1.0,-0.3,148065719.79664844,-2.3388234800973424
179,,98707189.07267413,1.0,-0.2644581595906367,148050912.39648515,-2.338589581896184
180,,98698487.15493903,6.0,-0.13223221266609153,74016462.66150124,1.1692194085689462
181,,98691669.05994028,7.0,-0.2644652672477863,49338432.4258773,2.338221878789336
182,,98685436.06678684,1.0,-0.26445900163466785,148018285.12801284,-2.3380188127363084
183,,98676736.10402578,1.0,-0.2644581595906367,148005236.16433108,-2.337868084344811
184,,98668037.04636036,6.0,-0.15,73993627.36393231,1.1688586851275897
185,,98660636.6255224,5.0,-0.07107825716118343,73993627.36393231,1.1688586851275897
186,,98659467.76683727,5.0,-0.10662243809989036,73993627.36393231,1.1688586851275897
187,,98661221.05486497,6.0,-0.0078610689916823,73990982.50125326,1.1687502494179418
188,,98660962.76596718,1.0,-0.3,147984044.102786,-2.3370514204559214
189,,98653562.71980241,0.0,-0.36321063104026086,123319420.10882331,-1.1684380651862138
190,,98649018.80048159,5.0,-0.03552145495877568,123319420.10882331,-1.1684380651862138
191,,98649603.01951419,2.0,0.21051696781682244,197286874.09701753,-4.672347219528462
192,,98665305.16082051,6.0,-0.30987978206796046,73986650.08109273,1.1686048224661911
193,,98647717.64959677,1.0,-0.7265222954080442,147964177.9817558,-2.3372913246836178
194,,98626295.40900931,1.0,-0.3355334217632959,147929578.01048625,-2.336119555853174
195,,98615262.24620366,7.0,-0.3355254743125426,49297768.92841309,2.335802890788594
196,,98604232.15006953,1.0,-0.4066002652895546,147896487.36717463,-2.335596952723235
197,,98590867.89671077,1.0,0.10530896947008754,147876441.73972428,-2.335114466656658
198,,98595018.47816885,0.0,-0.09668850245208506,123246236.36457524,-1.1679383363520677
199,,98599233.65253755,0.0,-0.2744023361607171,123249041.78510185,-1.168071289064796
200,,98595145.12245573,6.0,-0.327652618861435,73941428.57354748,1.1678291654520614
201,,98584375.70833415,1.0,-0.3,147869170.04900235,-2.335956583852668
202,,98576982.19483528,1.0,-0.7620986659714224,147855615.22435775,-2.3357813945652035
203,,98551941.54787543,6.0,-0.15,73906561.99500024,1.167234479200723
204,,98544547.38196911,1.0,-0.3,147809430.04704586,-2.3342938076077577
205,,98537156.35606131,1.0,-0.4066053155201648,147795880.44890508,-2.3341187311934175
206,,98523801.09277764,6.0,-0.15,73885460.5166203,1.1668182701245604
207,,98516410.7898147,6.0,-0.3453901087187566,73882382.08706397,1.1667307466995274
208,,98505067.7654108,1.0,-0.6909602445033888,147750214.1261601,-2.3338008852684515
209,,98484844.3385857,6.0,-0.46972926881260624,73856244.59585205,1.1663569049312597
210,,98466958.46835409,0.0,-0.09667839624655146,123083697.48286815,-1.1666424784762695
211,,98468707.82949734,6.0,-0.3454873453717939,73846607.65546194,1.1667461470863232
212,,98457367.5090273,0.0,0.12688002228174228,123071709.02808174,-1.1669159635554471
213,,98467285.93651514,1.0,0.16502845624838025,147693545.09816673,-2.335007966244134
214,,98476247.18567288,6.0,-0.16778928266437307,73849801.75328377,1.1679979977425856
215,,98468279.55070311,0.0,-0.11441347408374727,123085349.57916987,-1.1679312009334968
216,,98469447.62269503,6.0,-0.25674329229228104,73847162.39063504,1.1680004699866562
217,,98461020.29489884,1.0,0.01694960495401626,147684146.0055431,-2.3361335396326863
218,,98464148.45902205,7.0,-0.4779688167449093,49222229.02233343,2.3367067364142113
219,,98448461.48500341,6.0,-0.025407044359643204,73828962.27896917,1.16830585865003
220,,98445166.7207253,7.0,-0.3,49215199.48158243,2.3361453896707474
221,,98437782.84194508,6.0,0.008470277645836658,73820953.92855173,1.1679850835541656
222,,98435655.571914,1.0,0.016936938005698066,147646100.10492808,-2.335420901371658
223,,98438781.71302724,0.0,-0.15,123050936.90358041,-1.1679969353705177
224,,98441241.4753236,7.0,-0.15763170384442743,49213237.70604522,2.3360522419393357
225,,98438530.54819089,1.0,-0.7983414009111254,147647951.36647472,-2.3357661956195637
226,,98412335.72900993,0.0,-0.1677919967740534,123017882.91443294,-1.167184588085416
227,,98414215.38988641,6.0,-0.22115206717424693,73805740.82027762,1.1671791953068906
228,,98406960.3093586,1.0,-0.3355865259161694,147603059.9940735,-2.3344077881475176
229,,98398412.63550013,6.0,-0.2567356959863127,73791429.05157337,1.1670748248825806
230,,98387530.98597375,6.0,-0.1322081850534491,73785728.94101223,1.1671118740922153
231,,98383195.24344271,1.0,-0.15764038812833656,147567413.95877165,-2.334065508373294
232,,98380484.46806704,5.0,-0.03558972168837826,147567413.95877165,-2.334065508373294
233,,98379317.43531285,1.0,0.016943271329467158,147559138.37744516,-2.3341396373567633
234,,98379983.28815684,6.0,-0.18559291867388225,73777610.0510265,1.1673269808034936
235,,98371438.5460849,5.0,-0.2135890072857,73777610.0510265,1.1673269808034936
236,,98374940.52702731,7.0,-0.15764183850216257,49180091.783439696,2.3343127097507845
237,,98372230.67237285,1.0,-0.015253754715749312,147548508.18313676,-2.334026874329676
238,,98371728.95444766,7.0,-0.4423716746956955,49176028.21285323,2.3344580781330277
239,,98357223.77392079,6.0,0.00848611605546228,73760540.78029014,1.1671677201129795
240,,98355098.97851084,7.0,-0.22882260820034805,49170172.278486684,2.33378651714386
241,,98350055.55425924,1.0,-0.26440587481615685,147515247.84028357,-2.33355610388315
242,,98341386.8412059,5.0,-0.03559141060638371,147515247.84028357,-2.33355610388315
243,,98340220.06315395,6.0,-0.13220649646469113,73747789.0390862,1.1666613683760494
244,,98333427.38555887,6.0,-0.04324151185138151,73745153.63964987,1.1665531044387367
245,,98332010.1453529,1.0,-0.015294285104332915,147490639.93187153,-2.3327404964143215
246,,98333965.82118075,1.0,-0.19321509075816662,147491116.366069,-2.3332297027210998
247,,98327633.3000327,1.0,-0.4779875183899417,147481617.22007746,-2.3332455341472333
248,,98311967.45622572,1.0,-0.15762687735781156,147458118.6209894,-2.332597040269194
249,,98306800.0869571,7.0,-0.1220522981279422,49143569.571620785,2.332695823433479
250,,98302801.35465792,6.0,-0.16779265920088257,73719727.52278127,1.1661621115433463
251,,98294844.78038998,6.0,-0.18558616271620942,73716218.7024472,1.166095389712079
252,,98288763.80215499,0.0,-0.1322025151263611,122860954.78810865,-1.1660785834874243
253,,98289346.87686165,3.0,-1.2,294845925.60041845,-9.328905360370316
254,,98267231.84669515,6.0,-0.3635321753985748,73678309.33484983,1.165850795447693
255,,98238122.19175094,7.0,-0.33559883224154546,49111693.20848019,2.331674788563347
256,,98229588.46696138,8.0,-0.6,-14734.748372539878,4.663055159714291
257,,98214853.71858884,1.0,-0.5848543827585668,147307546.87635064,-2.331177843359731
258,,98190795.30568278,7.0,-0.3355929186739655,49085576.43791905,2.3301643443290723
259,,98179809.00858828,1.0,-0.2287982343727637,147259895.09917492,-2.3299589208929774
260,,98172320.55380167,6.0,-0.20339317922915784,73621877.34988287,1.164945896072262
261,,98163210.06948918,1.0,0.07638015332398224,147237452.81045833,-2.329841456091168
262,,98168661.90372224,1.0,-0.15754237690521747,147243177.5433975,-2.3305793149357164
263,,98163507.75016624,7.0,-0.7985493138325249,49071937.73271629,2.330678278887085
264,,98137376.8598472,0.0,-0.20344444708338696,122674174.18430021,-1.1654163127000665
265,,98138081.84486936,6.0,-0.07876006364739573,73598654.32237196,1.1653416515646966
266,,98135505.46689242,6.0,-0.22123316948067104,73596722.0274182,1.165200368869089
267,,98128267.99340355,0.0,-0.13218645355875436,122660334.93965122,-1.1652251168855956
268,,98128850.55385877,2.0,-1.4550705362656762,196245435.07422358,-4.661038833128712
269,,98088618.28736603,6.0,-0.15,73554195.81838867,1.1644500960084292
